author,creation date,defect_rate,filenumber,genre,title
"Shakespeare, William",1606,,Ant,TR,Antony and Cleopatra
"Shakespeare, William",1598,,AYL,CO,As You Like It
"Shakespeare, William",1611,,Tmp,CO,The Tempest
"Shakespeare, William",1603,,AWW,CO,All's Well That Ends Well
"Shakespeare, William",1592,,Err,CO,The Comedy of Errors
"Shakespeare, William; Peele, George",1592,,Tit,TR,Titus Andronicus
"Shakespeare, William; Middleton, Thomas",1606,,Mac,TR,Macbeth
"Shakespeare, William",1595,,Rom,TR,Romeo and Juliet
"Shakespeare, William",1599,,H5,HI,Henry V
"Shakespeare, William; Middleton, Thomas",1603,,MM,CO,Measure for Measure
"Shakespeare, William",1609,,WT,CO,The Winter's Tale
"Shakespeare, William",1591,,R3,HI,Richard III
"Shakespeare, William",1608,,Cor,TR,Coriolanus
anon.,1591,,Jn,HI,1 The Troublesome Reign of King John
"Shakespeare, William",1590,,Shr,CO,The Taming of the Shrew
"Shakespeare, William; Middleton, Thomas",1605,,Tim,TR,Timon of Athens
"Shakespeare, William",1591,,3H6,HI,3 Henry VI
"Shakespeare, William",1600,,Ham,TR,Hamlet
"Shakespeare, William",1610,,Cym,TR,Cymbeline
"Shakespeare, William",1591,,2H6,HI,2 Henry VI
"Shakespeare, William",1597,,Wiv,CO,The Merry Wives of Windsor
"Shakespeare, William; Fletcher, John",1613,,H8,HI,Henry VIII
"Shakespeare, William",1595,,MND,CO,A Midsummer Night's Dream
"Shakespeare, William; Wilkins, George",1606,,Per,TC,Pericles
"Shakespeare, William",1590,,TGV,CO,The Two Gentlemen of Verona
"Shakespeare, William",1597,,2H4,HI,2 Henry IV
"Shakespeare, William",1595,,R2,HI,Richard II
"Shakespeare, William",1599,,JC,TR,Julius Caesar
"Shakespeare, William",1605,,Lr,TR,King Lear
"Shakespeare, William",1596,,MV,CO,The Merchant of Venice
"Shakespeare, William",1597,,1H4,HI,1 Henry IV
"Shakespeare, William",1598,,Ado,CO,Much Ado About Nothing
"Shakespeare, William",1602,,Tro,TR,Troilus and Cressida
"Shakespeare, William",1601,,TN,CO,Twelfth Night
"Shakespeare, William",1594,,LLL,CO,Love's Labours Lost
"Shakespeare, William",1603,,Oth,TR,Othello
"Shakespeare, William; Nashe, Thomas",1592,,1H6,HI,1 Henry VI
"Bower, Richard",1575,0.29,A00456,TC,Appius and Virginia
"Field, Nathan",1618,0.51,A00723,CO,Amends for Ladies 
"Field, Nathan",1612,0.07,A00725,CO,A Woman Is a Weathercock 
"Fisher, Jasper",1633,0.0,A00760,HI,Fuimus Troes (The True Trojans) 
