,author,creation date,defect_rate,filenumber,genre,title
0,"Shakespeare, William",1606,,Ant,TR,Antony and Cleopatra
1,"Shakespeare, William",1598,,AYL,CO,As You Like It
2,"Shakespeare, William",1611,,Tmp,CO,The Tempest
3,"Shakespeare, William",1603,,AWW,CO,All's Well That Ends Well
4,"Shakespeare, William",1592,,Err,CO,The Comedy of Errors
7,"Shakespeare, William",1595,,Rom,TR,Romeo and Juliet
8,"Shakespeare, William",1599,,H5,HI,Henry V
10,"Shakespeare, William",1609,,WT,CO,The Winter's Tale
11,"Shakespeare, William",1591,,R3,HI,Richard III
12,"Shakespeare, William",1608,,Cor,TR,Coriolanus
14,"Shakespeare, William",1590,,Shr,CO,The Taming of the Shrew
16,"Shakespeare, William",1591,,3H6,HI,3 Henry VI
17,"Shakespeare, William",1600,,Ham,TR,Hamlet
18,"Shakespeare, William",1610,,Cym,TR,Cymbeline
19,"Shakespeare, William",1591,,2H6,HI,2 Henry VI
20,"Shakespeare, William",1597,,Wiv,CO,The Merry Wives of Windsor
22,"Shakespeare, William",1595,,MND,CO,A Midsummer Night's Dream
24,"Shakespeare, William",1590,,TGV,CO,The Two Gentlemen of Verona
25,"Shakespeare, William",1597,,2H4,HI,2 Henry IV
26,"Shakespeare, William",1595,,R2,HI,Richard II
27,"Shakespeare, William",1599,,JC,TR,Julius Caesar
28,"Shakespeare, William",1605,,Lr,TR,King Lear
29,"Shakespeare, William",1596,,MV,CO,The Merchant of Venice
30,"Shakespeare, William",1597,,1H4,HI,1 Henry IV
31,"Shakespeare, William",1598,,Ado,CO,Much Ado About Nothing
32,"Shakespeare, William",1602,,Tro,TR,Troilus and Cressida
33,"Shakespeare, William",1601,,TN,CO,Twelfth Night
34,"Shakespeare, William",1594,,LLL,CO,Love's Labours Lost
35,"Shakespeare, William",1603,,Oth,TR,Othello
43,"Fletcher, John",1608,0.87,A00962,TC,The Faithful Shepherdess 
45,"Fletcher, John",1624,0.55,A00967,CO,Rule a Wife and Have a Wife 
48,"Ford, John",1630,1.65,A01046,TR,The Broken Heart 
49,"Ford, John",1633,1.23,A01047,HI,Perkin Warbeck 
50,"Ford, John",1635,0.0,A01049,CO,The Fancies Chaste and Noble 
51,"Ford, John",1638,0.17,A01052,CO,The Lady's Trial 
52,"Ford, John",1628,0.05,A01055,CO,The Lover's Melancholy 
53,"Ford, John",1632,0.39,A01056,TR,Love's Sacrifice 
54,"Ford, John",1631,0.29,A01057,TR,'Tis Pity She's a Whore 
65,"Glapthorne, Henry",1639,0.47,A01772,TC,Argalus and Parthenia 
66,"Glapthorne, Henry",1640,0.53,A01773,CO,The Hollander
67,"Glapthorne, Henry",1640,0.0,A01775,TC,The Ladies' Privilege 
68,"Glapthorne, Henry",1639,0.03,A01777,TR,Albertus Wallenstein 
69,"Glapthorne, Henry",1640,0.4,A01779,CO,Wit in a Constable 
